,Train Set Size,Loss,Accuracy
0,80,0.678238034248352,0.5320432782173157
1,800,0.27373623847961426,0.8961714506149292
2,8000,0.1450543850660324,0.9508947134017944
3,80000,0.05983361229300499,0.9796088337898254
