,Train Set Size,Loss,Accuracy
0,10000,0.13286112248897552,0.9531835317611694
1,20000,0.11469801515340805,0.9581772685050964
2,30000,0.07985038310289383,0.9717020392417908
3,40000,0.15009158849716187,0.9490220546722412
4,50000,0.07291687279939651,0.9746150374412537
5,60000,0.0674615353345871,0.975863516330719
6,70000,0.06340369582176208,0.978568434715271
7,80000,0.04725873842835426,0.9837703108787537
